2455407.53727 15.391 0.004 6.32 236.0
2455407.73149 15.393 0.004 5.95 458.0
2455408.66018 15.401 0.004 6.76 403.0
2455409.52596 15.389 0.004 5.99 273.0
2455410.52705 15.401 0.004 5.34 293.0
2455411.56412 15.404 0.003 4.80 260.0
2455412.59442 15.402 0.004 5.70 368.0
2455413.55670 15.397 0.003 4.58 280.0
2455414.59910 15.396 0.003 4.76 234.0
2455418.55118 15.397 0.003 4.55 227.0
2455421.58202 15.406 0.004 5.72 277.0
2455422.55025 15.401 0.004 4.93 316.0
2455425.49649 15.403 0.004 5.25 373.0
2455430.49240 15.401 0.004 5.77 660.0
2455431.49353 15.397 0.004 4.84 627.0
2455431.69221 15.404 0.005 7.46 1334.0
2455433.66643 15.404 0.004 6.35 624.0
2455434.66868 15.396 0.004 5.69 559.0
2455435.67438 15.393 0.004 5.18 466.0
2455437.58622 15.399 0.004 5.84 310.0
2455439.52778 15.399 0.004 6.34 344.0
2455443.53987 15.399 0.004 6.08 318.0
2455444.55946 15.395 0.004 7.82 257.0
2455445.65658 15.392 0.004 6.08 368.0
2455446.65730 15.392 0.004 5.34 318.0
2455448.52440 15.392 0.004 6.59 315.0
2455449.63382 15.396 0.004 5.30 389.0
2455451.52174 15.380 0.004 6.87 852.0
2455453.49942 15.399 0.004 5.40 782.0
2455458.50974 15.388 0.004 5.10 585.0
2455460.48663 15.399 0.004 5.93 518.0
2455461.58699 15.395 0.004 5.92 809.0
2455465.51578 15.403 0.004 6.09 367.0
2455470.54753 15.406 0.004 5.50 406.0
2455472.60290 15.401 0.004 6.64 472.0
2455478.55028 15.393 0.004 5.88 416.0
2455487.52556 15.398 0.004 5.83 618.0
2455490.53552 15.391 0.005 6.92 802.0
2455604.89333 15.409 0.007 8.00 2125.0
2455605.88080 15.397 0.003 4.91 408.0
2455608.88831 15.397 0.004 5.98 612.0
2455611.87992 15.396 0.004 5.54 588.0
2455614.84054 15.393 0.004 6.13 611.0
2455620.82999 15.385 0.004 6.40 371.0
2455624.80727 15.399 0.004 6.42 393.0
2455625.80455 15.394 0.004 5.92 382.0
2455627.79351 15.394 0.004 6.91 346.0
