7197.83542 18.767 0.053 0.026 0.489  1.542128
7198.62827 18.732 0.034 -.043 -1.263  1.494911
7198.81411 18.875 0.075 0.093 1.233  1.484608
7199.58850 18.769 0.034 -.043 -1.275  1.444487
7199.77122 18.830 0.037 0.011 0.296  1.435637
7200.52665 18.787 0.039 -.058 -1.498  1.401315
7200.70639 18.827 0.032 -.024 -0.762  1.393652
7202.64437 19.003 0.068 0.094 1.378  1.321555
7202.86611 18.838 0.074 -.077 -1.043  1.314389
7206.67782 19.049 0.072 0.050 0.693  1.217058
7206.83799 19.162 0.097 0.160 1.650  1.213842
7207.64671 19.113 0.055 0.097 1.766  1.198461
7207.83585 19.011 0.081 -.008 -.099  1.195060
7209.74243 18.918 0.053 -0.129 -2.440  1.164426
7211.52053 19.099 0.070 0.029 0.421  1.140950
7211.70284 19.121 0.050 0.049 0.988  1.138779
7212.57527 19.106 0.045 0.025 0.554  1.128931
7214.65104 19.079 0.052 -.022 -0.420  1.108684
7217.59901 19.117 0.061 -.006 -0.103  1.086106
7219.51173 19.265 0.072 0.130 1.805  1.074453
7219.71971 19.221 0.052 0.085 1.631  1.073303
7220.61146 19.145 0.042 0.004 0.096  1.068612
7220.79138 19.128 0.052 -.014 -0.267  1.067709
7221.58910 19.113 0.046 -.033 -0.714  1.063877
7221.77150 19.216 0.051 0.069 1.359  1.063038
7222.56277 19.157 0.061 0.007 0.110  1.059548
7222.77752 19.136 0.070 -.015 -0.217  1.058641
7223.61756 19.432 0.083 0.277 3.341  1.055250
7224.46873 19.325 0.067 0.167 2.492  1.052052
7224.66259 19.435 0.100 0.276 2.763  1.051356
7225.50079 19.174 0.062 0.012 0.198  1.048470
7226.51657 19.267 0.070 0.102 1.455  1.045231
7226.70146 19.264 0.057 0.098 1.724  1.044669
7227.48515 19.251 0.091 0.083 0.911  1.042383
7227.66002 19.173 0.044 0.004 0.100  1.041892
7228.48663 19.102 0.061 -.069 -1.130  1.039663
7228.67070 19.132 0.066 -.039 -0.598  1.039186
7229.51492 19.061 0.050 -0.113 -2.253  1.037087
7229.67959 19.135 0.057 -.039 -0.685  1.036693
7235.69998 19.220 0.071 0.034 0.476  1.025242
7236.55971 19.350 0.111 0.162 1.464  1.023987
7249.55783 19.331 0.078 0.130 1.672  1.011817
7249.70255 19.431 0.100 0.230 2.303  1.011732
7252.53641 19.465 0.088 0.263 2.985  1.010200
7253.49134 19.254 0.059 0.051 0.868  1.009740
7253.68348 19.128 0.058 -.075 -1.292  1.009651
7255.65107 19.188 0.068 -.016 -0.233  1.008791
7256.65418 19.256 0.091 0.052 0.568  1.008389
7263.63594 19.074 0.071 -0.133 -1.869  1.006143
7264.58237 19.259 0.066 0.052 0.788  1.005899
7265.54566 19.287 0.060 0.080 1.329  1.005664
7267.48020 19.576 0.110 0.368 3.348  1.005225
7268.48138 19.313 0.062 0.105 1.695  1.005014
7268.67680 19.235 0.055 0.027 0.491  1.004974
7269.66517 19.252 0.065 0.044 0.674  1.004779
7270.60894 19.243 0.054 0.035 0.641  1.004601
7271.56480 19.216 0.073 0.007 0.102  1.004429
7273.53563 19.388 0.115 0.179 1.557  1.004100
7275.54016 19.273 0.112 0.064 0.569  1.003796
7277.51491 19.462 0.088 0.252 2.869  1.003523
7278.49847 19.428 0.114 0.218 1.915  1.003397
7281.51010 19.107 0.098 -0.103 -1.052  1.003043
7284.54963 19.323 0.068 0.113 1.656  1.002732
7292.52764 19.445 0.132 0.234 1.772  1.002087
7299.56817 19.057 0.071 -0.155 -2.177  1.001671
7318.53199 19.207 0.086 -.005 -.062  1.000974
