7137.76039 19.199 0.038 3.39 310.0
7138.88771 19.240 0.054 4.08 406.0
7140.74357 19.214 0.059 4.66 445.0
7141.87687 19.121 0.043 3.22 436.0
7143.69872 19.178 0.067 4.69 451.0
7144.82729 19.200 0.104 7.09 532.0
7146.71794 19.137 0.065 4.36 792.0
7147.73765 19.012 0.067 5.09 773.0
7154.65407 18.994 0.035 3.61 317.0
7155.72946 18.964 0.038 3.83 360.0
7157.61898 18.972 0.044 4.31 404.0
7158.75690 18.850 0.039 4.55 355.0
7159.82499 18.940 0.038 3.79 371.0
7160.89555 18.849 0.037 3.85 413.0
7162.61936 18.818 0.046 5.39 373.0
7163.67336 18.920 0.060 5.92 418.0
7164.81664 18.775 0.037 4.31 359.0
7166.60329 18.808 0.054 6.03 450.0
7166.78686 18.740 0.038 4.52 381.0
7168.70497 18.552 0.040 6.21 354.0
7169.69279 18.529 0.027 4.40 329.0
7169.88758 18.526 0.030 4.50 380.0
7170.67980 18.473 0.027 4.50 366.0
7170.86932 18.427 0.027 4.12 413.0
7172.68208 18.270 0.029 4.67 518.0
7172.87292 18.255 0.031 5.38 433.0
7173.65890 18.181 0.027 4.76 606.0
7173.85460 18.178 0.025 3.81 681.0
7174.62352 18.140 0.027 4.08 739.0
7174.79571 18.075 0.028 4.62 736.0
7175.57956 17.926 0.026 4.31 1012.0
7175.75532 17.889 0.022 4.13 882.0
7178.67754 17.341 0.013 3.91 648.0
7178.84898 17.278 0.013 4.18 736.0
7179.62205 17.126 0.014 5.37 529.0
7179.78662 17.095 0.013 5.36 520.0
7180.57443 16.829 0.010 5.17 413.0
7180.73563 16.780 0.009 4.99 380.0
7180.90958 16.722 0.009 4.70 624.0
7181.69591 16.584 0.007 4.20 357.0
7181.86608 16.557 0.008 4.72 453.0
7182.63029 16.651 0.007 5.21 269.0
7182.82259 16.689 0.008 4.38 332.0
7183.58368 16.888 0.009 4.39 307.0
7183.76821 16.990 0.011 5.73 331.0
7184.57401 17.233 0.018 7.29 411.0
7184.75934 17.262 0.013 5.58 330.0
7184.92323 17.267 0.016 6.01 527.0
7185.72238 17.506 0.015 5.01 354.0
7185.88925 17.477 0.021 6.99 509.0
7186.84550 17.656 0.019 5.08 481.0
7187.62648 17.813 0.022 6.24 323.0
7187.80962 17.875 0.018 4.79 366.0
7188.59666 17.970 0.020 4.54 375.0
7188.78370 18.065 0.030 6.51 393.0
7189.64184 18.104 0.023 4.99 388.0
7189.82260 18.149 0.022 4.09 484.0
7190.61216 18.242 0.026 4.61 419.0
7190.81061 18.268 0.030 4.73 600.0
7191.63881 18.335 0.026 4.54 415.0
7192.84720 18.419 0.030 4.88 410.0
7192.87245 18.396 0.035 5.46 486.0
7193.66917 18.529 0.022 3.60 290.0
7193.85368 18.430 0.028 4.29 450.0
7194.61668 18.654 0.030 4.36 322.0
7194.80865 18.691 0.030 4.37 441.0
7197.64863 18.699 0.032 4.45 320.0
7197.83542 18.767 0.053 6.19 444.0
7198.62827 18.732 0.034 4.49 322.0
7198.81411 18.875 0.075 5.62 920.0
7199.58850 18.769 0.034 4.24 387.0
7199.77122 18.830 0.037 4.49 343.0
7200.52665 18.787 0.039 3.93 595.0
7200.70639 18.827 0.032 3.39 381.0
7202.64437 19.003 0.068 5.28 654.0
7202.86611 18.838 0.074 5.38 1050.0
7206.67782 19.049 0.072 4.86 804.0
7206.83799 19.162 0.097 5.01 1265.0
7207.64671 19.113 0.055 4.29 567.0
7207.83585 19.011 0.081 5.51 958.0
7209.74243 18.918 0.053 4.71 535.0
7211.52053 19.099 0.070 5.52 512.0
