 2013-Aug-28 12:00     13 50 45.51 -12 13 08.8 1.17618913205569   0.1917003   9.782067
 2013-Aug-29 12:00     13 54 31.25 -12 33 08.3 1.17630477862414   0.2087080   9.783029
 2013-Aug-30 12:00     13 58 17.61 -12 52 56.3 1.17643018577484   0.2254913   9.784072
 2013-Aug-31 12:00     14 02 04.60 -13 12 32.2 1.17656521327234   0.2420138   9.785194
 2013-Sep-01 12:00     14 05 52.24 -13 31 55.7 1.17670940533546   0.2582407   9.786394
 2013-Sep-02 12:00     14 09 40.52 -13 51 06.7 1.17686317172433   0.2741398   9.787673
 2013-Sep-03 12:00     14 13 29.48 -14 10 04.6 1.17702602004648   0.2896846   9.789027
 2013-Sep-04 12:00     14 17 19.11 -14 28 49.0 1.17719774022427   0.3048576   9.790455
 2013-Sep-05 12:00     14 21 09.41 -14 47 19.8 1.17737811537621   0.3196547   9.791955
 2013-Sep-06 12:00     14 25 00.41 -15 05 36.3 1.17756693182843   0.3340912   9.793526
 2013-Sep-07 12:00     14 28 52.10 -15 23 38.4 1.17776399119138   0.3482049   9.795164
 2013-Sep-08 12:00     14 32 44.49 -15 41 25.6 1.17796912282476   0.3620555   9.796870
 2013-Sep-09 12:00     14 36 37.58 -15 58 57.6 1.17818220011906   0.3757342   9.798643
 2013-Sep-10 12:00     14 40 31.36 -16 16 14.1 1.17840315325812   0.3893459   9.800480
 2013-Sep-11 12:00     14 44 25.85 -16 33 14.5 1.17863197826722   0.4030131   9.802383
 2013-Sep-12 12:00     14 48 21.05 -16 49 58.7 1.17886874511467   0.4168677   9.804352
 2013-Sep-13 12:00     14 52 16.94 -17 06 26.2 1.17911360036037   0.4310423   9.806389
 2013-Sep-14 12:00     14 56 13.53 -17 22 36.6 1.17936676544359   0.4456609   9.808494
 2013-Sep-15 12:00     15 00 10.81 -17 38 29.7 1.17962852773054   0.4608261   9.810671
 2013-Sep-16 12:00     15 04 08.79 -17 54 05.1 1.17989922474321   0.4766068   9.812923
 2013-Sep-17 12:00     15 08 07.47 -18 09 22.4 1.18017922179440   0.4930293   9.815251
 2013-Sep-18 12:00     15 12 06.83 -18 24 21.4 1.18046888503679   0.5100690   9.817660
 2013-Sep-19 12:00     15 16 06.89 -18 39 01.7 1.18076855245341   0.5276551   9.820153
 2013-Sep-20 12:00     15 20 07.63 -18 53 22.9 1.18107851007182   0.5456806   9.822730
 2013-Sep-21 12:00     15 24 09.07 -19 07 24.8 1.18139897620637   0.5640205   9.825396
 2013-Sep-22 12:00     15 28 11.19 -19 21 07.0 1.18173009491230   0.5825457   9.828150
 2013-Sep-23 12:00     15 32 14.00 -19 34 29.3 1.18207193835323   0.6011381   9.830993
 2013-Sep-24 12:00     15 36 17.48 -19 47 31.3 1.18242451521891   0.6196993   9.833925
 2013-Sep-25 12:00     15 40 21.65 -20 00 12.8 1.18278778161963   0.6381360   9.836946
 2013-Sep-26 12:00     15 44 26.48 -20 12 33.4 1.18316164481644   0.6563821   9.840055
 2013-Sep-27 12:00     15 48 31.98 -20 24 32.8 1.18354597768437   0.6743794   9.843252
 2013-Sep-28 12:00     15 52 38.13 -20 36 10.8 1.18394062060517   0.6920733   9.846534
 2013-Sep-29 12:00     15 56 44.92 -20 47 27.1 1.18434538321020   0.7094115   9.849900
 2013-Sep-30 12:00     16 00 52.35 -20 58 21.4 1.18476004644404   0.7263455   9.853349
 2013-Oct-01 12:00     16 05 00.41 -21 08 53.4 1.18518426810327   0.7428180   9.856877
 2013-Oct-02 12:00     16 09 09.07 -21 19 02.9 1.18561795025829   0.7587806   9.860484
 2013-Oct-03 12:00     16 13 18.33 -21 28 49.7 1.18606069513360   0.7741926   9.864166
 2013-Oct-04 12:00     16 17 28.16 -21 38 13.3 1.18651217633112   0.7890290   9.867921
 2013-Oct-05 12:00     16 21 38.56 -21 47 13.7 1.18697206007545   0.8032908   9.871746
 2013-Oct-06 12:00     16 25 49.49 -21 55 50.6 1.18744002297310   0.8170122   9.875638
 2013-Oct-07 12:00     16 30 00.94 -22 04 03.8 1.18791577035741   0.8302612   9.879594
 2013-Oct-08 12:00     16 34 12.89 -22 11 53.0 1.18839905904231   0.8431447   9.883614
 2013-Oct-09 12:00     16 38 25.31 -22 19 18.0 1.18888971409655   0.8557917   9.887694
 2013-Oct-10 12:00     16 42 38.17 -22 26 18.7 1.18938764006824   0.8683459   9.891835
 2013-Oct-11 12:00     16 46 51.45 -22 32 54.8 1.18989282573164   0.8809528   9.896037
 2013-Oct-12 12:00     16 51 05.12 -22 39 06.1 1.19040534061131   0.8937455   9.900299
 2013-Oct-13 12:00     16 55 19.16 -22 44 52.6 1.19092532622295   0.9068381   9.904624
 2013-Oct-14 12:00     16 59 33.54 -22 50 14.0 1.19145298167246   0.9203147   9.909012
 2013-Oct-15 12:00     17 03 48.23 -22 55 10.1 1.19198854504889   0.9342260   9.913466
 2013-Oct-16 12:00     17 08 03.21 -22 59 41.0 1.19253227413709   0.9485898   9.917988
 2013-Oct-17 12:00     17 12 18.44 -23 03 46.4 1.19308442500116   0.9633794   9.922581
 2013-Oct-18 12:00     17 16 33.91 -23 07 26.2 1.19364522803741   0.9785389   9.927245
 2013-Oct-19 12:00     17 20 49.60 -23 10 40.3 1.19421487629184   0.9939925   9.931982
